imageID,prediction,confidence
00b668ea-e4f9-41be-a115-313568f0a43e.jpg,Bunchy Top,0.3780
00ba2a71-9acd-41b9-a906-0ac6bf46c54b.jpg,Healthy,0.4411
00e582e6-fd43-445a-89be-c6268f0b3e9b.jpg,Bunchy Top,0.3780
012deac3-4ca6-4663-b7ba-de1de8d03ed1.jpg,Bunchy Top,0.3780
0139b316-6ee7-4f7c-9125-fd18874d3ff0.jpg,Healthy,0.4410
0142aaf5-f142-4ac5-9a5d-d6ad275c4d5f.jpg,Healthy,0.4411
01b77215-53e1-4c6a-9399-4d5b5198d4b1.jpg,Healthy,0.4411
0262e617-a132-4a13-8cc7-bfdc501a4252.jpg,Bunchy Top,0.3777
02ca4fac-9748-4765-95f5-ce915801ea1e.jpg,Bunchy Top,0.3780
02dd347f-eb46-4041-adb5-2e92256d2b98.jpg,Healthy,0.4161
03906120-bdef-4e01-804d-bbf5f7040675.jpg,Bunchy Top,0.3780
03b50063-9471-475c-8721-dbe187e7777f.jpg,Healthy,0.4411
04a48b4b-115b-4ac2-96d4-c01c46f8ae6d.jpg,Bunchy Top,0.3780
04f538fa-2512-4601-ba93-dae0b1f54259.jpg,Bunchy Top,0.3780
05091811-8caa-40c2-8887-62f7da6e13a7.jpg,Bunchy Top,0.3754
057c1191-a823-4e16-899e-2a45b651e53b.jpg,Bunchy Top,0.3778
057f879b-6bd8-48d9-af71-de393d4da980.jpg,Bunchy Top,0.3780
05bb615d-de30-46ec-ab34-40d186ce5115.jpg,Healthy,0.4411
05f683ab-da3f-4eff-bcd7-7509e8e3b44c.jpg,Healthy,0.4411
06f738e9-c0ae-48d5-836a-0f0c53ae97a0.jpg,Healthy,0.4411
